sizeMap; possibleActions; possibleStates; initialQValues; learningMethod; selectionMethod; selectionMethodForSimulationMCTS; numberOfTasks; numberOfEpisodes; softmax_baselineUsed; softmax_temperature; UCB_c; eGreedy_epsilon_initial; eGreedy_epsilon_final; qLearning_alpha; qLearning_gamma; qLearning_lambda; maxStepsForSimulationMCTS; simulationDepthChargeMCTS; taskNumber; episodeNumber; episodeStepTime; optimalAction; lastState; actionInLastState; newState; averageReward; RMS; percentageOfChosenOptimalActionsPerEpisode; percentageOfChosenActionsPerEpisode; victories;

5;UP;ZONA_SEGURA_AGENTE_DESTRUIDO_0.0_1.0;0.0;Q_LEARNING;MONTE_CARLO_TREE_SEARCH;E_GREEDY;20;150;true;1.0;1.0;0.2;0.2;1.0;0.98;0.8;200;0;0;0;28;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_4.0_4.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_4.0_4.0;-1.0;-1.0;0.0;48.27586_0.0_13.7931_0.0_37.93103_0.0_0.0_0.0;0;
;RIGHT_UP;ZONA_SEGURA_AGENTE_DESTRUIDO_0.0_2.0;;;;;;;;;;;;;;;;;0;1;30;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_4.0_4.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_4.0_4.0;-1.0;-1.0;0.0;48.3871_0.0_12.90323_0.0_38.70968_0.0_0.0_0.0;0;
;RIGHT;ZONA_SEGURA_AGENTE_DESTRUIDO_0.0_3.0;;;;;;;;;;;;;;;;;0;2;33;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_4.0_4.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_4.0_4.0;-1.0;-1.0;0.0;47.05882_0.0_14.70588_0.0_35.29412_2.94118_0.0_0.0;0;
;RIGHT_DOWN;ZONA_SEGURA_AGENTE_DESTRUIDO_1.0_0.0;;;;;;;;;;;;;;;;;0;3;27;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_4.0_4.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_4.0_4.0;-1.0;-1.0;0.0;42.85714_3.57143_17.85714_0.0_28.57143_7.14286_0.0_0.0;0;
;DOWN;ZONA_SEGURA_AGENTE_DESTRUIDO_1.0_4.0;;;;;;;;;;;;;;;;;0;4;35;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_4.0_4.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_4.0_4.0;-1.0;-1.0;0.0;41.66667_0.0_19.44444_2.77778_25.0_5.55556_5.55556_0.0;0;
;LEFT_DOWN;ZONA_SEGURA_AGENTE_DESTRUIDO_2.0_0.0;;;;;;;;;;;;;;;;;0;5;35;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_4.0_4.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_4.0_4.0;-1.0;-1.0;2.7777777777777777;38.88889_0.0_19.44444_5.55556_22.22222_5.55556_5.55556_2.77778;0;
;LEFT;ZONA_SEGURA_AGENTE_DESTRUIDO_2.0_4.0;;;;;;;;;;;;;;;;;0;6;103;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_4.0_4.0;DOWN;VIDA_BAJA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_4.0_4.0;1.0;-1.0;4.8076923076923075;25.0_9.61538_13.46154_6.73077_19.23077_10.57692_10.57692_4.80769;0;
;LEFT_UP;ZONA_SEGURA_AGENTE_DESTRUIDO_3.0_0.0;;;;;;;;;;;;;;;;;0;7;78;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_4.0_4.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_4.0_4.0;-1.0;-1.0;5.063291139240507;25.31646_7.59494_15.18987_6.32911_21.51899_6.32911_12.65823_5.06329;0;
;;ZONA_SEGURA_AGENTE_DESTRUIDO_3.0_4.0;;;;;;;;;;;;;;;;;0;8;93;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_4.0_4.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_4.0_4.0;1.0;-1.0;5.319148936170213;22.34043_13.82979_8.51064_11.70213_13.82979_12.76596_11.70213_5.31915;1;
;;ZONA_SEGURA_AGENTE_DESTRUIDO_4.0_0.0;;;;;;;;;;;;;;;;;0;9;270;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_4.0_4.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_4.0_4.0;1.0;-1.0;10.33210332103321;16.60517_11.80812_12.91513_9.5941_16.23616_11.80812_10.70111_10.3321;1;
