sizeMap; possibleActions; possibleStates; initialQValues; learningMethod; selectionMethod; selectionMethodForSimulationMCTS; numberOfTasks; numberOfEpisodes; softmax_baselineUsed; softmax_temperature; UCB_c; eGreedy_epsilon_initial; eGreedy_epsilon_final; qLearning_alpha; qLearning_gamma; qLearning_lambda; maxStepsForSimulationMCTS; simulationDepthChargeMCTS; taskNumber; episodeNumber; episodeStepTime; optimalAction; lastState; actionInLastState; newState; averageReward; RMS; percentageOfChosenOptimalActionsPerEpisode; percentageOfChosenActionsPerEpisode; victories;

4;UP;ZONA_SEGURA_AGENTE_DESTRUIDO_0.0_1.0;0.0;Q_LEARNING;MONTE_CARLO_TREE_SEARCH;E_GREEDY;20;150;true;1.0;1.0;0.2;0.2;1.0;0.98;0.8;100;0;0;0;32;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_3.0_3.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_3.0_3.0;-1.0;-1.0;9.090909090909092;27.27273_0.0_24.24242_3.0303_27.27273_0.0_9.09091_9.09091;0;
;RIGHT_UP;ZONA_SEGURA_AGENTE_DESTRUIDO_0.0_2.0;;;;;;;;;;;;;;;;;0;1;28;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_3.0_3.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_3.0_3.0;-1.0;-1.0;0.0;44.82759_0.0_13.7931_3.44828_31.03448_3.44828_3.44828_0.0;0;
;RIGHT;ZONA_SEGURA_AGENTE_DESTRUIDO_1.0_0.0;;;;;;;;;;;;;;;;;0;2;118;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;6.722689075630252;21.84874_8.40336_15.96639_5.88235_20.16807_9.2437_11.76471_6.72269;1;
;RIGHT_DOWN;ZONA_SEGURA_AGENTE_DESTRUIDO_1.0_3.0;;;;;;;;;;;;;;;;;0;3;47;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_3.0_3.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_3.0_3.0;-1.0;-1.0;4.166666666666667;25.0_8.33333_16.66667_8.33333_14.58333_10.41667_12.5_4.16667;0;
;DOWN;ZONA_SEGURA_AGENTE_DESTRUIDO_2.0_0.0;;;;;;;;;;;;;;;;;0;4;128;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;6.2015503875969;26.35659_6.20155_16.27907_5.42636_20.15504_11.62791_7.75194_6.20155;1;
;LEFT_DOWN;ZONA_SEGURA_AGENTE_DESTRUIDO_2.0_3.0;;;;;;;;;;;;;;;;;0;5;57;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;1.7241379310344827;29.31034_8.62069_15.51724_5.17241_17.24138_13.7931_8.62069_1.72414;1;
;LEFT;ZONA_SEGURA_AGENTE_DESTRUIDO_3.0_0.0;;;;;;;;;;;;;;;;;0;6;55;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_BAJA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;1.7857142857142858;37.5_5.35714_8.92857_3.57143_32.14286_5.35714_5.35714_1.78571;0;
;LEFT_UP;ZONA_SEGURA_AGENTE_DESTRUIDO_3.0_1.0;;;;;;;;;;;;;;;;;0;7;64;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_BAJA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;1.5384615384615385;30.76923_7.69231_15.38462_1.53846_24.61538_10.76923_7.69231_1.53846;0;
;;ZONA_SEGURA_AGENTE_DESTRUIDO_3.0_2.0;;;;;;;;;;;;;;;;;0;8;43;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_BAJA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;2.272727272727273;31.81818_9.09091_11.36364_2.27273_29.54545_6.81818_6.81818_2.27273;0;
