sizeMap; possibleActions; possibleStates; initialQValues; learningMethod; selectionMethod; selectionMethodForSimulationMCTS; numberOfTasks; numberOfEpisodes; softmax_baselineUsed; softmax_temperature; UCB_c; eGreedy_epsilon_initial; eGreedy_epsilon_final; qLearning_alpha; qLearning_gamma; qLearning_lambda; maxStepsForSimulationMCTS; simulationDepthChargeMCTS; taskNumber; episodeNumber; episodeStepTime; optimalAction; lastState; actionInLastState; newState; averageReward; RMS; percentageOfChosenOptimalActionsPerEpisode; percentageOfChosenActionsPerEpisode; victories;

3;UP;ZONA_SEGURA_AGENTE_DESTRUIDO_0.0_1.0;0.0;Q_LEARNING;MONTE_CARLO_TREE_SEARCH;E_GREEDY;20;150;true;1.0;1.0;0.2;0.2;1.0;0.98;0.8;100;0;0;0;49;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;6.0;28.0_4.0_16.0_4.0_28.0_4.0_10.0_6.0;1;
;RIGHT_UP;ZONA_SEGURA_AGENTE_DESTRUIDO_1.0_0.0;;;;;;;;;;;;;;;;;0;1;71;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;6.944444444444445;19.44444_8.33333_20.83333_4.16667_16.66667_12.5_11.11111_6.94444;1;
;RIGHT;ZONA_SEGURA_AGENTE_DESTRUIDO_1.0_2.0;;;;;;;;;;;;;;;;;0;2;29;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;0.0;43.33333_0.0_13.33333_0.0_36.66667_3.33333_3.33333_0.0;1;
;RIGHT_DOWN;ZONA_SEGURA_AGENTE_DESTRUIDO_2.0_0.0;;;;;;;;;;;;;;;;;0;3;36;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_BAJA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;2.7027027027027026;37.83784_2.7027_13.51351_2.7027_29.72973_8.10811_2.7027_2.7027;0;
;DOWN;ZONA_SEGURA_AGENTE_DESTRUIDO_2.0_1.0;;;;;;;;;;;;;;;;;0;4;31;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;3.125;40.625_0.0_12.5_3.125_34.375_3.125_3.125_3.125;1;
;LEFT_DOWN;ZONA_REPARACION_AGENTE_DESTRUIDO_0.0_0.0;;;;;;;;;;;;;;;;;0;5;32;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_BAJA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;3.0303030303030303;36.36364_3.0303_15.15152_0.0_33.33333_6.06061_3.0303_3.0303;0;
;LEFT;ZONA_EMBOSCADA_AGENTE_DESTRUIDO_1.0_1.0;;;;;;;;;;;;;;;;;0;6;30;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;0.0;38.70968_3.22581_12.90323_3.22581_29.03226_6.45161_6.45161_0.0;1;
;LEFT_UP;ZONA_ATAQUE_AGENTE_DESTRUIDO_2.0_2.0;;;;;;;;;;;;;;;;;0;7;39;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;0.0;40.0_2.5_10.0_2.5_35.0_2.5_7.5_0.0;1;
;;ZONA_ATAQUE_AGENTE_DESTRUIDO_ENEMIGO_DESTRUIDO_2.0_2.0;;;;;;;;;;;;;;;;;0;8;32;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;3.0303030303030303;36.36364_3.0303_12.12121_3.0303_33.33333_3.0303_6.06061_3.0303;1;
;;RECIBIENDO_ATAQUE_AEREO_ZONA_SEGURA_AGENTE_DESTRUIDO_0.0_1.0;;;;;;;;;;;;;;;;;0;9;34;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;0.0;40.0_0.0_14.28571_2.85714_31.42857_2.85714_8.57143_0.0;1;
;;RECIBIENDO_ATAQUE_AEREO_ZONA_SEGURA_AGENTE_DESTRUIDO_1.0_0.0;;;;;;;;;;;;;;;;;0;10;33;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;0.0;41.17647_2.94118_11.76471_0.0_35.29412_5.88235_2.94118_0.0;1;
;;RECIBIENDO_ATAQUE_AEREO_ZONA_SEGURA_AGENTE_DESTRUIDO_1.0_2.0;;;;;;;;;;;;;;;;;0;11;28;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;0.0;44.82759_0.0_13.7931_0.0_34.48276_6.89655_0.0_0.0;1;
;;RECIBIENDO_ATAQUE_AEREO_ZONA_SEGURA_AGENTE_DESTRUIDO_2.0_0.0;;;;;;;;;;;;;;;;;0;12;31;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;0.0;40.625_3.125_12.5_0.0_34.375_6.25_3.125_0.0;1;
;;RECIBIENDO_ATAQUE_AEREO_ZONA_SEGURA_AGENTE_DESTRUIDO_2.0_1.0;;;;;;;;;;;;;;;;;0;13;33;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;0.0;41.17647_0.0_14.70588_0.0_35.29412_2.94118_5.88235_0.0;1;
;;RECIBIENDO_ATAQUE_AEREO_ZONA_REPARACION_AGENTE_DESTRUIDO_0.0_0.0;;;;;;;;;;;;;;;;;0;14;34;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;2.857142857142857;37.14286_0.0_14.28571_2.85714_34.28571_0.0_8.57143_2.85714;1;
;;RECIBIENDO_ATAQUE_AEREO_ZONA_EMBOSCADA_AGENTE_DESTRUIDO_1.0_1.0;;;;;;;;;;;;;;;;;0;15;34;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;2.857142857142857;37.14286_2.85714_11.42857_2.85714_34.28571_2.85714_5.71429_2.85714;1;
;;RECIBIENDO_ATAQUE_AEREO_ZONA_ATAQUE_AGENTE_DESTRUIDO_2.0_2.0;;;;;;;;;;;;;;;;;0;16;35;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;0.0;38.88889_2.77778_11.11111_5.55556_27.77778_5.55556_8.33333_0.0;1;
;;RECIBIENDO_ATAQUE_AEREO_ZONA_ATAQUE_AGENTE_DESTRUIDO_ENEMIGO_DESTRUIDO_2.0_2.0;;;;;;;;;;;;;;;;;0;17;29;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;0.0;43.33333_0.0_13.33333_0.0_36.66667_3.33333_3.33333_0.0;1;
;;VIDA_BAJA_ZONA_SEGURA_0.0_1.0;;;;;;;;;;;;;;;;;0;18;29;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;0.0;43.33333_0.0_13.33333_0.0_36.66667_3.33333_3.33333_0.0;1;
;;VIDA_BAJA_ZONA_SEGURA_1.0_0.0;;;;;;;;;;;;;;;;;0;19;33;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;0.0;35.29412_5.88235_14.70588_0.0_29.41176_8.82353_5.88235_0.0;1;
;;VIDA_BAJA_ZONA_SEGURA_1.0_2.0;;;;;;;;;;;;;;;;;0;20;37;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;0.0;39.47368_0.0_15.78947_2.63158_28.94737_5.26316_7.89474_0.0;1;
;;VIDA_BAJA_ZONA_SEGURA_2.0_0.0;;;;;;;;;;;;;;;;;0;21;46;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;2.127659574468085;36.17021_2.12766_14.89362_0.0_34.04255_4.25532_6.38298_2.12766;1;
;;VIDA_BAJA_ZONA_SEGURA_2.0_1.0;;;;;;;;;;;;;;;;;0;22;30;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;0.0;41.93548_0.0_12.90323_0.0_38.70968_0.0_6.45161_0.0;1;
;;VIDA_BAJA_ZONA_REPARACION_0.0_0.0;;;;;;;;;;;;;;;;;0;23;39;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;2.5;40.0_0.0_10.0_5.0_35.0_0.0_7.5_2.5;1;
;;VIDA_BAJA_ZONA_ANTIBOMBARDEOS_0.0_2.0;;;;;;;;;;;;;;;;;0;24;32;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;0.0;42.42424_0.0_12.12121_3.0303_33.33333_3.0303_6.06061_0.0;1;
;;VIDA_BAJA_ZONA_EMBOSCADA_1.0_1.0;;;;;;;;;;;;;;;;;0;25;32;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_BAJA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;0.0;42.42424_0.0_12.12121_3.0303_33.33333_3.0303_6.06061_0.0;0;
;;VIDA_BAJA_ZONA_ATAQUE_2.0_2.0;;;;;;;;;;;;;;;;;0;26;32;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;0.0;42.42424_0.0_15.15152_0.0_33.33333_6.06061_3.0303_0.0;1;
;;VIDA_BAJA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;;;;;;;;;;;;;;;;;0;27;28;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;0.0;44.82759_0.0_13.7931_0.0_34.48276_6.89655_0.0_0.0;1;
;;VIDA_BAJA_RECIBIENDO_ATAQUE_AEREO_ZONA_SEGURA_0.0_1.0;;;;;;;;;;;;;;;;;0;28;30;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;0.0;38.70968_3.22581_12.90323_3.22581_29.03226_6.45161_6.45161_0.0;1;
