;ZONA_SEGURA_AGENTE_DESTRUIDO_0.0_1.0;ZONA_SEGURA_AGENTE_DESTRUIDO_1.0_0.0;ZONA_SEGURA_AGENTE_DESTRUIDO_1.0_2.0;ZONA_SEGURA_AGENTE_DESTRUIDO_2.0_0.0;ZONA_SEGURA_AGENTE_DESTRUIDO_2.0_1.0;ZONA_REPARACION_AGENTE_DESTRUIDO_0.0_0.0;ZONA_EMBOSCADA_AGENTE_DESTRUIDO_1.0_1.0;ZONA_ATAQUE_AGENTE_DESTRUIDO_2.0_2.0;ZONA_ATAQUE_AGENTE_DESTRUIDO_ENEMIGO_DESTRUIDO_2.0_2.0;RECIBIENDO_ATAQUE_AEREO_ZONA_SEGURA_AGENTE_DESTRUIDO_0.0_1.0;RECIBIENDO_ATAQUE_AEREO_ZONA_SEGURA_AGENTE_DESTRUIDO_1.0_0.0;RECIBIENDO_ATAQUE_AEREO_ZONA_SEGURA_AGENTE_DESTRUIDO_1.0_2.0;RECIBIENDO_ATAQUE_AEREO_ZONA_SEGURA_AGENTE_DESTRUIDO_2.0_0.0;RECIBIENDO_ATAQUE_AEREO_ZONA_SEGURA_AGENTE_DESTRUIDO_2.0_1.0;RECIBIENDO_ATAQUE_AEREO_ZONA_REPARACION_AGENTE_DESTRUIDO_0.0_0.0;RECIBIENDO_ATAQUE_AEREO_ZONA_EMBOSCADA_AGENTE_DESTRUIDO_1.0_1.0;RECIBIENDO_ATAQUE_AEREO_ZONA_ATAQUE_AGENTE_DESTRUIDO_2.0_2.0;RECIBIENDO_ATAQUE_AEREO_ZONA_ATAQUE_AGENTE_DESTRUIDO_ENEMIGO_DESTRUIDO_2.0_2.0;VIDA_BAJA_ZONA_SEGURA_0.0_1.0;VIDA_BAJA_ZONA_SEGURA_1.0_0.0;VIDA_BAJA_ZONA_SEGURA_1.0_2.0;VIDA_BAJA_ZONA_SEGURA_2.0_0.0;VIDA_BAJA_ZONA_SEGURA_2.0_1.0;VIDA_BAJA_ZONA_REPARACION_0.0_0.0;VIDA_BAJA_ZONA_ANTIBOMBARDEOS_0.0_2.0;VIDA_BAJA_ZONA_EMBOSCADA_1.0_1.0;VIDA_BAJA_ZONA_ATAQUE_2.0_2.0;VIDA_BAJA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;VIDA_BAJA_RECIBIENDO_ATAQUE_AEREO_ZONA_SEGURA_0.0_1.0;VIDA_BAJA_RECIBIENDO_ATAQUE_AEREO_ZONA_SEGURA_1.0_0.0;VIDA_BAJA_RECIBIENDO_ATAQUE_AEREO_ZONA_SEGURA_1.0_2.0;VIDA_BAJA_RECIBIENDO_ATAQUE_AEREO_ZONA_SEGURA_2.0_0.0;VIDA_BAJA_RECIBIENDO_ATAQUE_AEREO_ZONA_SEGURA_2.0_1.0;VIDA_BAJA_RECIBIENDO_ATAQUE_AEREO_ZONA_REPARACION_0.0_0.0;VIDA_BAJA_RECIBIENDO_ATAQUE_AEREO_ZONA_ANTIBOMBARDEOS_0.0_2.0;VIDA_BAJA_RECIBIENDO_ATAQUE_AEREO_ZONA_EMBOSCADA_1.0_1.0;VIDA_BAJA_RECIBIENDO_ATAQUE_AEREO_ZONA_ATAQUE_2.0_2.0;VIDA_BAJA_RECIBIENDO_ATAQUE_AEREO_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;VIDA_ALTA_ZONA_SEGURA_0.0_1.0;VIDA_ALTA_ZONA_SEGURA_1.0_0.0;VIDA_ALTA_ZONA_SEGURA_1.0_2.0;VIDA_ALTA_ZONA_SEGURA_2.0_0.0;VIDA_ALTA_ZONA_SEGURA_2.0_1.0;VIDA_ALTA_ZONA_REPARACION_0.0_0.0;VIDA_ALTA_ZONA_ANTIBOMBARDEOS_0.0_2.0;VIDA_ALTA_ZONA_EMBOSCADA_1.0_1.0;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;VIDA_ALTA_RECIBIENDO_ATAQUE_AEREO_ZONA_SEGURA_0.0_1.0;VIDA_ALTA_RECIBIENDO_ATAQUE_AEREO_ZONA_SEGURA_1.0_0.0;VIDA_ALTA_RECIBIENDO_ATAQUE_AEREO_ZONA_SEGURA_1.0_2.0;VIDA_ALTA_RECIBIENDO_ATAQUE_AEREO_ZONA_SEGURA_2.0_0.0;VIDA_ALTA_RECIBIENDO_ATAQUE_AEREO_ZONA_SEGURA_2.0_1.0;VIDA_ALTA_RECIBIENDO_ATAQUE_AEREO_ZONA_REPARACION_0.0_0.0;VIDA_ALTA_RECIBIENDO_ATAQUE_AEREO_ZONA_ANTIBOMBARDEOS_0.0_2.0;VIDA_ALTA_RECIBIENDO_ATAQUE_AEREO_ZONA_EMBOSCADA_1.0_1.0;VIDA_ALTA_RECIBIENDO_ATAQUE_AEREO_ZONA_ATAQUE_2.0_2.0;VIDA_ALTA_RECIBIENDO_ATAQUE_AEREO_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0
UP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.837515940149295;21.28317953076459;0.0;21.837515940149295;20.40076562134631;22.181569690508734;0.0;21.837515940149295;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.181569690508734;3.436446370333332;0.0;21.826515455233512;25.25252525252514;22.181569690508734;0.0;22.634254786233402;0.0;0.0;0.0;0.0;0.0;0.0;22.40076562134631;0.0;0.0;0.0;0.0;0.0
RIGHT_UP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.837515940149295;21.837515940149295;0.0;0.0;0.0;0.0;0.0;20.40076562134631;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.634254786233402;24.081371444515227;0.0;0.0;0.0;3.436446370333332;0.0;19.03117414891938;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RIGHT;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.28317953076459;21.837515940149295;20.40076562134631;0.0;0.0;0.9223681599999999;21.837515940149295;21.837515940149295;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;3.619373563445785;22.40076562134631;0.0;0.0;0.9223681599999999;22.634254786233402;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.98;21.826515455233512;0.0;0.0
RIGHT_DOWN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.28317953076459;0.0;21.837515940149295;0.0;0.0;0.0;21.28317953076459;21.837515940149295;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9223681599999999;0.0;23.09617835329939;0.0;0.0;0.0;3.436446370333332;2.697005403445785;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DOWN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.73793829669856;0.0;21.28317953076459;0.0;21.837515940149295;0.0;22.28317953076459;22.28317953076459;21.837515940149295;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.061346058747658;0.0;21.38998514612884;0.0;1.8451127967999996;0.0;1.0;0.0;0.0;0.0;3.194755832186769;0.0;0.0;0.0;0.0;0.0;-1.0;0.0
LEFT_DOWN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.28317953076459;0.0;22.28317953076459;0.0;0.0;22.73793829669856;21.28317953076459;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.436446370333332;0.0;0.0;0.0;0.0;-0.07763184000000012;21.28317953076459;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.020000000000000018;0.0
LEFT;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.73793829669856;21.837515940149295;22.28317953076459;21.28317953076459;0.0;0.0;0.0;21.837515940149295;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.07763184000000012;1.8827681599999997;20.542941734342136;-0.020000000000000018;0.0;0.0;0.9411919999999999;21.837515940149295;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;0.0
LEFT_UP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.28317953076459;21.837515940149295;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9411919999999999;0.0;3.436446370333332;4.280363094068131;0.0;0.0;1.8827681599999997;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;1.0;0.0;0.0
