sizeMap; possibleActions; possibleStates; initialQValues; learningMethod; selectionMethod; selectionMethodForSimulationMCTS; numberOfTasks; numberOfEpisodes; softmax_baselineUsed; softmax_temperature; UCB_c; eGreedy_epsilon_initial; eGreedy_epsilon_final; qLearning_alpha; qLearning_gamma; qLearning_lambda; maxStepsForSimulationMCTS; simulationDepthChargeMCTS; taskNumber; episodeNumber; episodeStepTime; optimalAction; lastState; actionInLastState; newState; averageReward; RMS; percentageOfChosenOptimalActionsPerEpisode; percentageOfChosenActionsPerEpisode; victories;

3;UP;ZONA_SEGURA_AGENTE_DESTRUIDO_0.0_1.0;0.0;Q_LEARNING;MONTE_CARLO_TREE_SEARCH;E_GREEDY;20;150;true;1.0;1.0;0.2;0.2;1.0;0.98;0.8;100;10;0;0;130;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;7.633587786259542;19.84733_8.39695_14.50382_9.16031_17.55725_8.39695_14.50382_7.63359;1;
;RIGHT_UP;ZONA_SEGURA_AGENTE_DESTRUIDO_1.0_0.0;;;;;;;;;;;;;;;;;0;1;180;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;11.602209944751381;12.70718_12.70718_15.46961_8.83978_14.36464_13.25967_11.04972_11.60221;1;
;RIGHT;ZONA_SEGURA_AGENTE_DESTRUIDO_1.0_2.0;;;;;;;;;;;;;;;;;0;2;185;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;7.526881720430108;17.74194_10.21505_13.97849_12.36559_10.21505_12.36559_15.5914_7.52688;1;
;RIGHT_DOWN;ZONA_SEGURA_AGENTE_DESTRUIDO_2.0_0.0;;;;;;;;;;;;;;;;;0;3;149;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;13.333333333333334;13.33333_12.66667_10.0_16.66667_9.33333_12.66667_12.0_13.33333;1;
;DOWN;ZONA_SEGURA_AGENTE_DESTRUIDO_2.0_1.0;;;;;;;;;;;;;;;;;0;4;102;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;8.737864077669903;17.47573_7.76699_19.41748_7.76699_14.56311_10.67961_13.59223_8.73786;1;
;LEFT_DOWN;ZONA_REPARACION_AGENTE_DESTRUIDO_0.0_0.0;;;;;;;;;;;;;;;;;0;5;123;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;10.483870967741936;16.93548_9.67742_16.93548_9.67742_12.09677_14.51613_9.67742_10.48387;1;
;LEFT;ZONA_EMBOSCADA_AGENTE_DESTRUIDO_1.0_1.0;;;;;;;;;;;;;;;;;0;6;167;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;5.357142857142857;17.85714_15.47619_8.92857_9.52381_15.47619_13.09524_14.28571_5.35714;1;
;LEFT_UP;ZONA_ATAQUE_AGENTE_DESTRUIDO_2.0_2.0;;;;;;;;;;;;;;;;;0;7;119;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;5.833333333333333;15.83333_15.83333_13.33333_6.66667_14.16667_15.83333_12.5_5.83333;1;
;;ZONA_ATAQUE_AGENTE_DESTRUIDO_ENEMIGO_DESTRUIDO_2.0_2.0;;;;;;;;;;;;;;;;;0;8;160;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;1.0;-1.0;9.937888198757763;16.14907_9.93789_14.28571_12.42236_11.80124_11.18012_14.28571_9.93789;1;
