sizeMap; possibleActions; possibleStates; initialQValues; learningMethod; selectionMethod; selectionMethodForSimulationMCTS; numberOfTasks; numberOfEpisodes; softmax_baselineUsed; softmax_temperature; UCB_c; eGreedy_epsilon_initial; eGreedy_epsilon_final; qLearning_alpha; qLearning_gamma; qLearning_lambda; maxStepsForSimulationMCTS; simulationDepthChargeMCTS; taskNumber; episodeNumber; episodeStepTime; optimalAction; lastState; actionInLastState; newState; averageReward; RMS; percentageOfChosenOptimalActionsPerEpisode; percentageOfChosenActionsPerEpisode; victories;
;;;;;;;;;;;;;;;;;;;15;109;292;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_BAJA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;9.215017064846416;20.13652_10.5802_11.6041_8.87372_18.77133_11.6041_9.21502_9.21502;0;
;;;;;;;;;;;;;;;;;;;15;110;230;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;6.4935064935064934;19.48052_13.41991_10.38961_8.22511_17.74892_12.55411_11.68831_6.49351;1;
;;;;;;;;;;;;;;;;;;;15;111;188;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_BAJA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;6.878306878306878;23.80952_10.58201_9.52381_7.93651_21.69312_10.58201_8.99471_6.87831;0;
;;;;;;;;;;;;;;;;;;;15;112;108;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_BAJA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;10.091743119266056;15.59633_13.76147_13.76147_6.42202_19.26606_11.92661_9.17431_10.09174;0;
;;;;;;;;;;;;;;;;;;;15;113;232;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_BAJA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;9.012875536480687;19.74249_10.72961_10.72961_7.29614_24.03433_7.29614_11.1588_9.01288;0;
;;;;;;;;;;;;;;;;;;;15;114;748;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_BAJA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;10.280373831775702;14.55274_11.48198_12.14953_10.41389_17.75701_7.87717_15.48732_10.28037;0;
;;;;;;;;;;;;;;;;;;;15;115;265;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_3.0_3.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_3.0_3.0;-1.0;-1.0;10.150375939849624;15.78947_15.03759_7.89474_11.2782_16.91729_12.03008_10.90226_10.15038;0;
;;;;;;;;;;;;;;;;;;;15;116;462;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_BAJA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;10.151187904967603;13.60691_12.31102_13.17495_9.50324_17.06263_9.07127_15.11879_10.15119;0;
;;;;;;;;;;;;;;;;;;;15;117;732;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;11.323328785811732;13.36971_12.27831_10.36835_12.14188_17.46248_7.09413_15.9618_11.32333;1;
;;;;;;;;;;;;;;;;;;;15;118;862;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;9.501738122827346;16.5701_11.23986_12.39861_8.80649_18.8876_9.38586_13.20973_9.50174;1;
;;;;;;;;;;;;;;;;;;;15;119;670;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;9.538002980625931;12.81669_13.11475_12.22057_10.43219_16.09538_8.64382_17.1386_9.538;1;
;;;;;;;;;;;;;;;;;;;15;120;645;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;12.693498452012383;13.46749_11.45511_13.46749_9.90712_17.33746_10.06192_11.60991_12.6935;1;
;;;;;;;;;;;;;;;;;;;15;121;392;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;10.94147582697201;17.55725_11.19593_11.19593_9.66921_19.08397_10.43257_9.92366_10.94148;1;
;;;;;;;;;;;;;;;;;;;15;122;182;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;10.92896174863388;16.39344_9.28962_16.39344_9.28962_15.30055_10.92896_11.47541_10.92896;1;
;;;;;;;;;;;;;;;;;;;15;123;484;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_3.0_3.0;DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_3.0_3.0;-1.0;-1.0;7.010309278350515;24.53608_7.42268_9.48454_10.30928_21.64948_6.59794_12.98969_7.01031;0;
;;;;;;;;;;;;;;;;;;;15;124;573;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;12.89198606271777;10.62718_13.41463_12.19512_10.45296_17.77003_8.36237_14.28571_12.89199;1;
;;;;;;;;;;;;;;;;;;;15;125;625;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_BAJA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;9.904153354632587;13.25879_14.53674_9.58466_10.54313_17.89137_8.94569_15.33546_9.90415;0;
;;;;;;;;;;;;;;;;;;;15;126;270;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;7.749077490774908;15.12915_11.43911_15.12915_8.48708_15.86716_9.22509_16.97417_7.74908;1;
;;;;;;;;;;;;;;;;;;;15;127;343;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;11.046511627906977;15.11628_10.75581_13.66279_9.30233_18.31395_8.72093_13.0814_11.04651;1;
;;;;;;;;;;;;;;;;;;;15;128;899;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;10.0;12.22222_13.55556_10.55556_13.22222_13.44444_8.88889_18.11111_10.0;1;
;;;;;;;;;;;;;;;;;;;15;129;370;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;7.816711590296496;14.01617_10.78167_17.25067_7.00809_16.71159_8.3558_18.0593_7.81671;1;
;;;;;;;;;;;;;;;;;;;15;130;417;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_BAJA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;9.569377990430622;12.91866_14.35407_10.76555_11.48325_14.5933_10.28708_16.02871_9.56938;0;
;;;;;;;;;;;;;;;;;;;15;131;442;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;8.352144469525959;15.34989_13.54402_10.60948_9.93228_17.15576_9.70655_15.34989_8.35214;1;
;;;;;;;;;;;;;;;;;;;15;132;526;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;8.538899430740038;15.18027_11.57495_12.14421_10.24668_17.45731_7.21063_17.64706_8.5389;1;
;;;;;;;;;;;;;;;;;;;15;133;470;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;8.9171974522293;14.64968_10.82803_14.22505_9.55414_16.77282_7.64331_17.40977_8.9172;1;
;;;;;;;;;;;;;;;;;;;15;134;573;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;10.975609756097562;14.1115_9.7561_13.24042_13.41463_13.58885_7.49129_17.4216_10.97561;1;
;;;;;;;;;;;;;;;;;;;15;135;471;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_BAJA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;11.016949152542374;13.77119_11.65254_12.5_10.16949_18.22034_7.62712_15.04237_11.01695;0;
;;;;;;;;;;;;;;;;;;;15;136;379;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_BAJA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;10.526315789473685;13.42105_12.36842_12.36842_10.26316_17.36842_8.15789_15.52632_10.52632;0;
;;;;;;;;;;;;;;;;;;;15;137;449;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;10.444444444444445;14.66667_12.22222_11.33333_10.88889_17.11111_8.88889_14.44444_10.44444;1;
;;;;;;;;;;;;;;;;;;;15;138;436;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;10.297482837528603;15.10297_10.29748_14.41648_8.92449_18.30664_8.00915_14.64531_10.29748;1;
;;;;;;;;;;;;;;;;;;;15;139;292;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_BAJA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;9.215017064846416;14.33447_10.9215_15.35836_9.21502_15.69966_8.87372_16.38225_9.21502;0;
;;;;;;;;;;;;;;;;;;;15;140;310;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;10.289389067524116;16.72026_11.57556_11.89711_8.03859_21.22186_8.68167_11.57556_10.28939;1;
;;;;;;;;;;;;;;;;;;;15;141;675;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_BAJA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;13.165680473372781;12.57396_10.79882_14.05325_10.65089_16.86391_8.72781_13.16568_13.16568;0;
;;;;;;;;;;;;;;;;;;;15;142;752;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;13.01460823373174;13.41301_10.62417_12.3506_11.68659_17.66268_7.43692_13.81142_13.01461;1;
;;;;;;;;;;;;;;;;;;;15;143;497;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;11.44578313253012;13.65462_9.03614_13.85542_12.4498_16.26506_5.02008_18.27309_11.44578;1;
;;;;;;;;;;;;;;;;;;;15;144;398;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;11.779448621553884;14.53634_11.02757_10.77694_12.78195_17.04261_7.01754_15.03759_11.77945;1;
;;;;;;;;;;;;;;;;;;;15;145;693;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;11.527377521613833;14.98559_10.37464_13.54467_9.79827_18.01153_8.78963_12.9683_11.52738;1;
;;;;;;;;;;;;;;;;;;;15;146;346;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;13.832853025936599;13.25648_10.08646_12.39193_13.25648_16.13833_7.20461_13.83285_13.83285;1;
